"","cond","SID","value","article_number"
"1","self","s001","Climate change is making current wildfires all over the world even worse",7
"2","self","s002","Banana rich in potassiums and good than anything",68
"3","social","s003","Because its fighting the misinformation so prevelant in media these days.",77
"4","social","s004","Keeping active seems like it is good for everything, the mind, the body and feeling younger.",18
"5","social","s005","The BOKS program for children and exercise before class might make children feel better and thrive more in school.",86
"6","social","s008","It seems that CBD oil is not as beneficial as the claims say",88
"7","self","s009","The article covers an inspiring story on advocacy for climate change, which is important to me",65
"8","social","s010","they can take the changes and apply them to their lives to improve their health",84
"9","social","s012","Local governments are suing oil and gas companies.",105
"10","self","s014","An athlete is working on environmental preservation and scientists won a prize for mapping peat.",5
"11","social","s015","This is about how you can supplement food for babies early and reap the benefits at night for longer sleep times.",44
"12","social","s017","Organisations are urged to be more sensitive about climate  in the climate week.",83
"13","social","s018","Solar power is being used more now, but it is still only a tiny portion of the total electricity used.",93
"14","self","s019","This article debates if the sugary drinks ban could improve people at the medical center.",94
"15","self","s020","Influential people talked about big data and man made meat in San Francisco.",81
"16","self","s021","This article matters to me because I want to know how to avoid getting kidney stones.",46
"17","social","s024","This talks about coal mining restrictions in Australia.",21
"18","social","s025","This article discusses how specific consumer products, such as paint, deodorant and perfume can impact clean air quality in cities.",107
"19","social","s028","It is about SUV  car sale",103
"20","self","s030","Maintaining diet , avoid smoking will help to stabilize the  sixe of atherosclerotic plaque and also reduce the chance of heart attack",84
"21","social","s031","Good food and sleep quality ib babies.",44
"22","self","s032","This article is important to me because it illustrates the political struggle in Australia for coal mining legislation.",21
"23","self","s036","Global warming projections",91
"24","social","s037","about the prevention of heart disease.",84
"25","social","s038","The use of plastics and its many uses, have left a legacy of litter since they don't bio degrade and nature can't use it.",67
"26","self","s040","It is personally mattered as am a sportsperson",68
"27","social","s041","This article matters so people that I know can prepare for their future just in case the area where they're living now will be covered with water in 20 years.",59
"28","social","s042","it is Negotiations have failed even though scientific understanding of climate change and the risks it poses have never been their first week on campus. important issues that they often never think about because they are too busy.",11
"29","self","s043","Government waste occurs even in times of disaster.  Liberals still want to blame climate change for their failures.",13
"30","social","s045","grandchild goes to mcdonalds with grandmother",70
"31","self","s046","the silicon valley starts up to change the land will be in the undewater",59
"32","self","s048","Benefits of cooking certain veggies may be enhanced when cooked and something decreased.",42
"33","social","s049","People I know might love someone with a hearing problem.",90
"34","self","s051","The article will discuss various issues involving climate change which is important for all of us.",71
"35","self","s052","This article is important to me personally because I want to stay healthy.",4
"36","social","s053","Shows how the link between parenting affects a child's weight.",92
"37","self","s054","We should encourage green power. Produced with little-to-no environmental impact. Everybody should grow plants. Green energy electricity plans and save is very important.",83
"38","social","s055","Climate change ultimately has or will effect everyone.",97
"39","self","s056","It will help me explain to my anti-GMO friend how ignorant they likely are about GMOs",102
"40","self","s057","Why are Americans staying home and using less energy? I think this is in part due to the pandemic and many of us are under mandatory orders to stay home. Also, many countries have closed their border and this prohibits travel. I think if the country ever opens again, we will see people on the go once more.",33
"41","self","s058","Eating flavonoids is good for your health.",22
"42","social","s062","With climate change currently happening and our country doing nothing to curb it and living in an earthquake state, people I know should read this article to keep themselves and their assets safe. Knowing the risk of not being insured and what the costs can be may help people make decisions that may better keep them safe and secure.",53
"43","self","s063","Apparently it's possible for vegan diets to be bad for you, which is something I didn't know in this particular way before.",26
"44","self","s064","Florida's wildlife is being killed by algal blooms",39
"45","social","s065","This article matters to people I know because they're concerned about the effects of climate change.",77
"46","social","s066","This is why we should not have a lot of sweets in our diet.",4
"47","self","s067","Skin infections decrease among people who are taking ""statins"" (whatever those are).",80
"48","social","s068","Things you can do to lower arterial plaque.",84
"49","self","s069","I want to help decrease climate change and air pollution in easy ways.",107
"50","self","s070","This seems like it would be an article and photos for the history books.",109
"51","social","s072","Low-IQ Americans are still building homes in flood zones, completely ignoring the data showing their home will just be destroyed again",23
"52","social","s073","This article is about how to weight train in a quick way.",48
"53","social","s074","Critically endangered Vaquita Porpoises and the effort to save them",101
"54","social","s075","four continents affected by havoc.",97
"55","self","s076","Its about a wildfire in california",17
"56","social","s078","Car companies are changing their perspectives on climate change, an oceanographer is probably going to be discussing ocean climate problems and then there will be talk about some weather.",71
"57","social","s079","more information on G.M.O",102
"58","self","s080","You can build strength with a short workout if you work hard at them.",48
"59","social","s081","not having to slow down as you age",76
"60","self","s082","This matters to me personally because I've always been interested in China-America relations. That the article also mentions recycling is an added bonus to me.",49
"61","social","s083","Climate change will start affecting companies' profits in the next 5 years.",87
"62","self","s084","top people getting together to discuss climate changes",11
"63","social","s085","Oil companies are trying to change emission rules to suit their own interests.",29
"64","self","s086","I want to live a long healthy life.",16
"65","self","s089","I have family members who are children, and I want to keep children safe and healthy.",12
"66","social","s090","People who dislike flavonoid rich foods have a lower risk of cancer and cardiovascular death.",22
"67","social","s092","Parkinson's disease has a positive relationship with heart risks.",82
"68","self","s093","Some liberal faggots brainwashed students to believe moron liberal shit.  Death to all libs",109
"69","self","s095","Evidence that climate change is happening and more encouragement that we need to do something about it",45
"70","social","s097","Climate deniers always promote dubious claims to try and back up their false information",77
"71","social","s099","This could be the answer to the problems all of you in florida are gonna face",59
"72","social","s100","This article is about if deli meats are bad for you or not.",28
"73","self","s101","Resilience matters when I'm trying to reach my goals. Being flexible, however, is still important.",37
"74","social","s103","Article is about climate change. Bigger faster avalanches happening before they thought. Predicting just the beginning.",45
"75","self","s104","This article matters to me because I think that addressing climate change is an issue that is important to put in campaign statements.",95
"76","self","s106","This article matters to me because I have a bag choice to make every week I go to the grocery store.",57
"77","social","s108","Because more healthy people means less is spent on healthcare.",12
"78","social","s110","Oil industry is very important to world for growth....",29
"79","self","s111","I monitor my fitness levels and would like to know more about it.",58
"80","self","s112","Too little pressure from low-impact sports could be harming people's bones.",98
"81","self","s113","It matters to me because this leaders control a large part of our lives so it matters to know whats going on with them and what are their plans.",81
"82","social","s114","This is important because we all drink too much soda. And it is making a negative impact on our health.",94
"83","social","s115","Many of my friends and family have heart and cholesterol issues, this article could help with that.",50
"84","social","s116","Walking in pace with others depends on the people. Some are fast and slow.",36
"85","social","s117","recycling is the best thing to environment",69
"86","self","s118","The indirect effects of global warming may not have been very apparent before, but it's rearing its ugly head now. Expect storms and wilder storms.",15
"87","self","s119","A completely unsurprising study finds eating healthy foods helps with weight loss.",8
"88","social","s120","Drilling may cause damage of artic wildlife",61
"89","self","s121","People eat more than they exercise thus gain weight.",78
"90","social","s122","because we need to rely less on fossil fuels",93
"91","social","s123","This article is relevant to people I know because most of their kids eat terrible food constantly.",2
"92","self","s124","This articles to me because I want to make sure I am recycling correctly.",69
"93","social","s125","A brief 13 minute exercise for strength building.",48
"94","social","s126","homes are build fast in the regions where many flood prone areas fastly  which has been show in new data",23
"95","self","s127","Wind turbine is most helpful to the climate",1
"96","self","s130","This article is about nutrient levels in certain foods after cooking.",42
"97","self","s132","It might take more than exercise to lose weight",6
