"","cond","SID","value","article_number"
"1","self","s001","It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar.",8
"2","self","s002","not so good i feel about this one",62
"3","social","s003","Maybe it could do more than just make people run faster. Maybe do other things faster.",72
"4","social","s004","Maybe dancing won't just keep the heart young, but your brain too.",14
"5","social","s005","CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste.",88
"6","social","s008","This is about the attempt to remove the endangered species act",89
"7","self","s009","Healthy and nutritional value of banana over carbonated drinks",68
"8","social","s010","CBD can help people with their pain",88
"9","social","s012","Kids skipped school to protest demand on climate issues.",109
"10","self","s014","I'm interested in alternative energy.",1
"11","social","s015","This is a good way to be more environmentally friendly at the same time save some money.",47
"12","social","s017","Statin users should be aware of its drawbacks.",80
"13","social","s018","Climate change may be disastrous in the future. Some regions may face several crises at one time.",99
"14","self","s019","As fossil fuels are harmful to the environment, it is desirable to use solar energy as much as possible. This will benefit the earth. It is beneficial to every human being including me so it matters if the world is adding more solar power.",93
"15","self","s020","It matters to me personally because I now have abdominal obesity, which may develop into something else in the future.",82
"16","self","s021","The article is about how ineffective antioxidants are with regards to post-exercise muscle aches.",40
"17","social","s024","A lot of people I know care about the environment and sustainability.",27
"18","social","s025","This article describes how people's immune systems come together to fight off colds and flu.",100
"19","social","s028","This is about climate",109
"20","self","s030","Climate changes is one of the major thing in US and it has causes 1 trillion dollar  in leading companies in the USA and it will become visible in the next 5 years .",87
"21","social","s031","Recycle is important.",49
"22","self","s032","This article expresses a lie and an attempt to undermine President Trump's prestige.",29
"23","self","s036","Both solar power and fossil fuels are big right now.",93
"24","social","s037","this news have some information about the internet usage and related stuff.",89
"25","social","s038","It is about a teenage girl who became popular for being outspoken over climate change.",65
"26","self","s040","this is known because of my home ladies",60
"27","social","s041","Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",51
"28","social","s042","Why the Wilder Storms? It's a 'Loaded Dice' Problem
Global warming is bringing an era of wilder, more dangerous rains. 
The good news is that we're getting better at evacuating flood zones. 
The bad news is everything else.",15
"29","self","s043","The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",17
"30","social","s045","A small study looked into people with a metabolic disorder may benefit from supplements of a common gut bacterium",74
"31","self","s046","it describes that nuclear power which affect you personal and cause environment more bad",51
"32","self","s048","Explaining why the word keeps using coal despite certain disadvantages.",43
"33","social","s049","Drinking less sugar drinks improves health.",94
"34","self","s051","Probiotics could be useful for obese people with metabolic disorders.",74
"35","self","s052","Since I am overweight this means a lot to me.",8
"36","social","s053","It gives a sense of perspective on how far we have to go to in order to limit carbon emissions in our electrical grid.",93
"37","self","s054","I am belief that the highest calling of leadership is to respect the potential in others.",89
"38","social","s055","I know people who have suffered from eating disorder(s). This article would be relateable to them.",96
"39","self","s056","Lawsuits about climate change has moved inland.",105
"40","self","s057","Men have been trying to control the climate and failed since the history of our world. We all need to pitch in and save our planet.",37
"41","self","s058","A Dr. with cancer started a company to research the cancer he has.",24
"42","social","s062","Cancers that are associated with excessive weights have the highest rates in certain states. They are more prevalent in the South, Midwest, Alaska and Washington D.C. while they were less prevalent in Mountain States, New England and Hawaii.",54
"43","self","s063","It doesn't, except that it pisses me off to see people act so stupidly.",23
"44","self","s064","the US blocking climate change declaration for the Arctic",35
"45","social","s065","This matters to people I know because a lot of them are eco-friendly, and this would help so much with buying a hybrid or electric car.",73
"46","social","s066","The court system dismissed Exxon's case about climate",3
"47","self","s067","I have family members with some heart issues, so it is scary to read about all the different outcomes that are associated with heart disease.",82
"48","social","s068","It's about harming endangered animals for money.",89
"49","self","s069","With the pandemic raging it is so important to me to stay healthy for myself and my kids.",100
"50","self","s070","Everyone should get tested for Sleep Apnea! It is more than snoring.",106
"51","social","s072","Is climate change causing more floods and what makes a flood ""catastrophic""?",25
"52","social","s073","This matters because climate change will affect people that I know.",45
"53","social","s074","We can all make a difference in reducing our city's air pollution",107
"54","social","s075","eating disorder is sometimes unhappy",96
"55","self","s076","This article matters to me because it shows that as a nation we are showing compassion for our environment and the creatures that live in it",19
"56","social","s078","It matters to people I know because it has to do with the future of our well being.",75
"57","social","s079","no one likes air pollution",107
"58","self","s080","Babies who eat solid food sooner are able to sleep longer at night.",44
"59","social","s081","It would help the environment",73
"60","self","s082","This article is about the perfect diet to prevent kidney stones.",46
"61","social","s083","Scientists don't know much about CBD and its effects.",88
"62","self","s084","Moving is good for the brain.",14
"63","social","s085","This article is about the affects of eating deli meat on peoples' health.",28
"64","self","s086","A study found that dietary supplements can be dangerous.",10
"65","self","s089","Diet supplements can be very dangerous for your health.",10
"66","social","s090","This doctor is taking a personal cancer experience and trying to do something about it.",24
"67","social","s092","Global warming is really coming.",85
"68","self","s093","I am not a liberal so I dont care about climate change I worry about living till I die.",103
"69","self","s095","Overview of a study where simple and short weight training can help you build strength",48
"70","social","s097","We should all be thinking about climate change and who we elect might just save our lives.",75
"71","social","s099","so now neither red nor white meat is good for you.",50
"72","social","s100","This article matters to people I know because it has information on how to stay safe when water rises (flooding).",25
"73","self","s101","The United States blocked a positive environmental legislation.",35
"74","social","s103","The article is about whether your recyclables get recycled or not.",49
"75","self","s104","This article is about the correlation between having difficulties hearing and getting into accidents.",90
"76","self","s106","This article matters because I have a carbon footprint that impacts the world around me.",51
"77","social","s108","This effects everyone that has to deal with severe weather.",15
"78","social","s110","HEALTH IS WEALTH WE NEED TO BE SAFE...",22
"79","self","s111","The article is about why we should ditch single use plastic straws for the environment.",55
"80","self","s112","Climate change affects all of us. I want our wildlife to have a safe environment for years to come.",91
"81","self","s113","Its about a new substance that doesn't have a lot of background information from scientists and it is unknown.",88
"82","social","s114","There are more and more ad campaigns for raising awareness for climate change.",95
"83","social","s115","We had flooding in my state 2 years ago. Nobody was ready for it, only half the people in my town even had sump pumps. In the Midwest particularly, people are not ready for the coming effects of climate change such as flooding.",53
"84","social","s116","Dogs and humans do will sleeping together. Makes sense as my dog is my bestfriend. It matters to others to have that assurance",38
"85","social","s117","banana contains high vitamins",68
"86","self","s118","This is important step in protecting our planet.",19
"87","self","s119","A report from ""13 federal agencies"" warn global warming could affect the GDP by 2100.",9
"88","social","s120","Races may get interesting to those of us who aren't athletic",62
"89","self","s121","It may make me more physically able.",72
"90","social","s122","Because we have to live on this planet.",99
"91","social","s123","This article is about a major oil company's abuse of the legal system to block research on climate change.",3
"92","self","s124","This article matters to me because climate change is something we must all pay attention too. The younger generation is really great with this.",65
"93","social","s125","Why countries are still burning coal.",43
"94","social","s126","to avoid waste of food and the precaution of not to waste the food",20
"95","self","s127","if weather is not good , so they judgement are waited",3
"96","self","s130","This matters to me personally because I don't want kidney stones! They're painful!",46
"97","self","s132","America is accused of needing to do more for climate",1
"98","social","s133","I don't understand people who don't ""believe"" in climate change.",97
"99","social","s134","Most of my friends are female so knowing which foods can increase risk, especially if they have a family history, is very important since cancer is awful.",52
"100","social","s136","The article is about how the slow use of government aid spending has resulted in billions of unspent recovery fund dollars while disasters are still multiplying.",13
"101","social","s137","more than two dozen Law makers, lobbyist and administration have joined together to propose the removal protection of species and weaken the law of protection.",89
"102","social","s139","Solar power led the way in 2017, but it's still just a small percentage of the world's electricity sources.",93
"103","social","s140","Romantic partner involvement in treating eating disorders",96
"104","self","s141","PAssing an enviormental bill",19
"105","self","s143","E.U leader fails.net carbon emission bloc.2050 failed.",41
"106","self","s145","Climate change will increase the number of climate-related disasters.",99
"107","self","s146","These stories always have me worrying about how humans do not treat precious life the way they should.",101
"108","self","s147","It matters to me because we could potentially allocate that saved money to other issues and benefit us.",12
"109","self","s149","Societies' activity also one of the reason of climate change.",75
"110","social","s150","It's about changes in lifestyles to decrease the likelihood of having a heart attack.",84
"111","self","s151","California is a beautiful state. It's very sad to read about the devastating fires taking place. It's a horrible experience for the people of California to lose all they worked so hard for. 
We must take efforts to stop the fires",17
"112","social","s153","Drilling in Arctic Wildlife Refuge closer to approval by senate",61
"113","self","s155","This article matters to me because I am also passionate about climate change.",65
