"","cond","SID","value","article_number"
"1","self","s001","I guess if they are harming the environment that I live in then they should be punished for that.",3
"2","self","s002","climate changes worsen our environment so badly.",63
"3","social","s003","Explains why even though people exercise they don't lose the weight they want to.",78
"4","social","s004","Since there is no escaping this planet, for now anyway, lets see what kind of tips we can incorporate into our daily lives to chip away at this massive, global problem.",11
"5","social","s005","Statin drugs to lower cholesterol can lead to a higher risk of staph skin infections.",80
"6","social","s008","This is about important landmarks that may get damaged by global warming",85
"7","self","s009","I am a young person who is attempting to become a parent in near future",60
"8","social","s010","This article talks about the financial impact of climate change on some of the world's largest companies",87
"9","social","s012","This article matters to people I know because a lot of them know of someone or has gone through breast cancer.",104
"10","self","s014","This article is about the best dietary choices for weight reduction.",8
"11","social","s015","This is about countries that would lose a lot of money if they went with saving the planet. They are more interested in their own salvation rather than the planets.",41
"12","social","s017","Most people don't know much about CBD.There is a need to make people aware of its relationship with snakes.",88
"13","social","s018","This matters because the average citizens will be forced to see more ads regarding this issue on tv and social media. It exposes us to more ads whether we support it or not.",95
"14","self","s019","This article is about the consequences of climate change. It tries to convey the message that climate change is going to cause crises in the near future.",99
"15","self","s020","A new snake oil called CBD has unknow effects to scientists.",88
"16","self","s021","This article is about the prediction of more deadly glaciers in Tibet.",45
"17","social","s024","I know a few people who have had cancer and would find this interesting.",24
"18","social","s025","The article describes that there has been a global increase in SUVs in the world due to more SUVs in China, Australia and Europe and that this will have an impact on the climate.",103
"19","social","s028","This article is about obesity",106
"20","self","s030","Protecting all the species in the earth is much needed and implementing the Endangered species act is helpful for all the species and much needed too.",89
"21","social","s031","The article  contains nutritious information.",42
"22","self","s032","This article expresses the need to save food resources and stop waste.",20
"23","self","s036","I worry about the health of children.",92
"24","social","s037","about children living issues",86
"25","social","s038","Recycling has proper protocol that takes information to know what is recyclable instead of fitting in with the green crowd.",69
"26","self","s040","This article about aspirational recycler.",69
"27","social","s041","This article matters to friends and family that I know because it concerns their wellbeing, so they know what type of meat to eat that won't harm their health in long term.",50
"28","social","s042","it was a protecting millions of acres of land and hundreds of miles of wild rivers across the country and establishing four new national monuments honoring heroes.",19
"29","self","s043","People know they need to exercise, and reminders help",16
