tone_ratings,value,SID
0.0,I guess if they are harming the environment that I live in then they should be punished for that.,s001
0.0,climate changes worsen our environment so badly.,s002
1.0,Explains why even though people exercise they don't lose the weight they want to.,s003
1.0,"Since there is no escaping this planet, for now anyway, lets see what kind of tips we can incorporate into our daily lives to chip away at this massive, global problem.",s004
0.0,Statin drugs to lower cholesterol can lead to a higher risk of staph skin infections.,s005
1.0,This is about important landmarks that may get damaged by global warming,s008
1.0,I am a young person who is attempting to become a parent in near future,s009
0.0,This article talks about the financial impact of climate change on some of the world's largest companies,s010
1.0,This article matters to people I know because a lot of them know of someone or has gone through breast cancer.,s012
1.0,This article is about the best dietary choices for weight reduction.,s014
0.0,This is about countries that would lose a lot of money if they went with saving the planet. They are more interested in their own salvation rather than the planets.,s015
0.0,Most people don't know much about CBD.There is a need to make people aware of its relationship with snakes.,s017
0.0,This matters because the average citizens will be forced to see more ads regarding this issue on tv and social media. It exposes us to more ads whether we support it or not.,s018
0.0,This article is about the consequences of climate change. It tries to convey the message that climate change is going to cause crises in the near future.,s019
0.0,A new snake oil called CBD has unknow effects to scientists.,s020
0.0,This article is about the prediction of more deadly glaciers in Tibet.,s021
1.0,I know a few people who have had cancer and would find this interesting.,s024
0.0,"The article describes that there has been a global increase in SUVs in the world due to more SUVs in China, Australia and Europe and that this will have an impact on the climate.",s025
0.0,This article is about obesity,s028
1.0,Protecting all the species in the earth is much needed and implementing the Endangered species act is helpful for all the species and much needed too.,s030
1.0,The article  contains nutritious information.,s031
1.0,This article expresses the need to save food resources and stop waste.,s032
0.0,I worry about the health of children.,s036
0.0,about children living issues,s037
1.0,Recycling has proper protocol that takes information to know what is recyclable instead of fitting in with the green crowd.,s038
1.0,This article about aspirational recycler.,s040
1.0,"This article matters to friends and family that I know because it concerns their wellbeing, so they know what type of meat to eat that won't harm their health in long term.",s041
1.0,it was a protecting millions of acres of land and hundreds of miles of wild rivers across the country and establishing four new national monuments honoring heroes.,s042
1.0,"People know they need to exercise, and reminders help",s043
1.0,"it matters to people i know because everyone ages and they appear to get slower as they get older, but not that much",s045
0.0,the meat cause the increase in the cholesterol that cause affect in the heart disease affects personally,s046
0.0,Whether or not recycled items actually get recycled after china stopped recycling most foreign garbage.,s048
0.0,Someone I know might be dating someone else with an eating disorder.,s049
