tone_ratings,value,SID
1.0,"Getting my own wind turbine could save me money on energy in the future, I would like to learn about wind turbines more.",s001
0.0,i don't think so good about this one,s002
0.0,Because I know a lot of people higher in age.,s003
1.0,"Good for you on quitting smoking, but now you need to hit the gym if you want to live past 100.",s004
0.0,Climate change costs might effect our job market and bills or taxes going higher in the next 5 years.,s005
1.0,These risks can also mean companies will raise their prices.,s008
1.0,Running race designed to challenge runners,s009
0.0,Taking statins to lower cholesterol can increase your risk for staph skin infections,s010
0.0,There is no such thing as strong immune system.,s012
1.0,"To lose weight, more than just exercise is involved.",s014
0.0,"If you think certain supplements can help you, you might be wrong about that.  Being deceived by some articles about supplements can just make your exercising worse.",s015
1.0,Positives to learn from the Climate TECH conference.,s017
1.0,The ban on sugary drink may be linked to health benefits such as losing belling fat.,s018
0.0,"I don't have any hearing loss at the moment but maybe in the future in old age, I could have it so this article is relevant to me.",s019
0.0,The government to re-evaluate Endangered Species Act which may weaken the law in the future.,s020
1.0,This article is about a fast way to weight train in order to build strength.,s021
1.0,I have two friends who work in a deli and eat the meat quite often.,s024
1.0,This article matters to people I know as I may have sleep apnea and my wife wants me to get tested so that I don't impact my own health.,s025
1.0,It is about the organisms,s028
0.0,This article is about a kind of snake oil where it is a lot of claims and there is not a lot of evidence for it .,s030
0.0,Climate change in Tibet,s031
1.0,This article is important to me because it highlights the incorrect way many Americans plan to build their homes.,s032
0.0,Dangers of Climate change,s036
0.0,global warming impact the environment around us,s037
1.0,"Instead of competing to win, professional racers are looking to find other ways to enjoy their sport.",s038
0.0,It is about degradation plastics.,s040
1.0,This article is promoting reusable products to replace the disposable products that people might be using.,s041
1.0,"there was important of brain chain amino acids, are best taken during your workouts because they block the fatigue inducing amino acid, tryptophan, allowing you to workout with less fatigue.",s042
1.0,Riding a bike will help you stay healthier even in your older years.,s043
1.0,climate change and renewable enegery,s045
0.0,the eating of processed meat may cause breast cancer it will increase 9 percent risk of breast cancer,s046
1.0,A list of 5 alterantive disposable cleaning products.,s048
1.0,Europeans found the world to be hotter this year.,s049
1.0,The article will discuss a voucher program proposed by the government to allow us to buy electric cars.,s051
1.0,This matters to me personally because I am trying to lose weight.,s052
0.0,Poor hearing makes it more likely to be accident prone.,s053
0.0,"Statins are known to increase the risk for diabetes, and diabetes increases the risk for staphylococcus infections of the skin and underlying soft tissue",s054
1.0,Banning sugary drinks could result in a loss of belly fat and effect your metabolism.,s055
1.0,It can help me avoid catching so many colds this year.,s056
1.0,"People tend to let whomever they walk with set the pace. Obviously, if you were walking with someone on a walker, you would walk slower. You also pace yourself when walking with a child. This statement is very true.",s057
0.0,People are building a lot of homes in flood zones.,s058
1.0,This article is about a new fitness trend called HIIT or high-intensity interval training and how to make it more fun.,s062
1.0,A cancer researcher who has been afflicted with cancer is trying to crowdsource a cure for his disease.,s063
1.0,how you walk says a lot about where you live,s064
1.0,This article matters to people I know because they are interested in people's backstories especially with helping people in poverty.,s065
1.0,"Climate change is happening, in all parts of the world.",s066
1.0,I don't particularly use CBD products but know a ton of people who do.,s067
1.0,I know lots of people that use CBD.,s068
0.0,I hate that we are destroying the earth with out selfishness and greed.,s069
1.0,"I disagree, SUV's can move more people at once so it may lead to a cut back in how many cars out on the road.",s070
0.0,Energy companies and conservatives have been trying to rollback fuel efficiency rules for vehicles for a while now a Times investigation found.,s072
