tone_ratings,value,SID
0.0,Climate change is making current wildfires all over the world even worse,s001
1.0,Banana rich in potassiums and good than anything,s002
1.0,Because its fighting the misinformation so prevelant in media these days.,s003
1.0,"Keeping active seems like it is good for everything, the mind, the body and feeling younger.",s004
1.0,The BOKS program for children and exercise before class might make children feel better and thrive more in school.,s005
0.0,It seems that CBD oil is not as beneficial as the claims say,s008
1.0,"The article covers an inspiring story on advocacy for climate change, which is important to me",s009
1.0,they can take the changes and apply them to their lives to improve their health,s010
0.0,Local governments are suing oil and gas companies.,s012
1.0,An athlete is working on environmental preservation and scientists won a prize for mapping peat.,s014
1.0,This is about how you can supplement food for babies early and reap the benefits at night for longer sleep times.,s015
1.0,Organisations are urged to be more sensitive about climate  in the climate week.,s017
1.0,"Solar power is being used more now, but it is still only a tiny portion of the total electricity used.",s018
1.0,This article debates if the sugary drinks ban could improve people at the medical center.,s019
1.0,Influential people talked about big data and man made meat in San Francisco.,s020
1.0,This article matters to me because I want to know how to avoid getting kidney stones.,s021
1.0,This talks about coal mining restrictions in Australia.,s024
1.0,"This article discusses how specific consumer products, such as paint, deodorant and perfume can impact clean air quality in cities.",s025
1.0,It is about SUV  car sale,s028
1.0,"Maintaining diet , avoid smoking will help to stabilize the  sixe of atherosclerotic plaque and also reduce the chance of heart attack",s030
1.0,Good food and sleep quality ib babies.,s031
1.0,This article is important to me because it illustrates the political struggle in Australia for coal mining legislation.,s032
1.0,Global warming projections,s036
1.0,about the prevention of heart disease.,s037
0.0,"The use of plastics and its many uses, have left a legacy of litter since they don't bio degrade and nature can't use it.",s038
1.0,It is personally mattered as am a sportsperson,s040
0.0,This article matters so people that I know can prepare for their future just in case the area where they're living now will be covered with water in 20 years.,s041
0.0,it is Negotiations have failed even though scientific understanding of climate change and the risks it poses have never been their first week on campus. important issues that they often never think about because they are too busy.,s042
0.0,Government waste occurs even in times of disaster.  Liberals still want to blame climate change for their failures.,s043
1.0,grandchild goes to mcdonalds with grandmother,s045
0.0,the silicon valley starts up to change the land will be in the undewater,s046
1.0,Benefits of cooking certain veggies may be enhanced when cooked and something decreased.,s048
1.0,People I know might love someone with a hearing problem.,s049
1.0,The article will discuss various issues involving climate change which is important for all of us.,s051
1.0,This article is important to me personally because I want to stay healthy.,s052
1.0,Shows how the link between parenting affects a child's weight.,s053
1.0,We should encourage green power. Produced with little-to-no environmental impact. Everybody should grow plants. Green energy electricity plans and save is very important.,s054
1.0,Climate change ultimately has or will effect everyone.,s055
0.0,It will help me explain to my anti-GMO friend how ignorant they likely are about GMOs,s056
1.0,"Why are Americans staying home and using less energy? I think this is in part due to the pandemic and many of us are under mandatory orders to stay home. Also, many countries have closed their border and this prohibits travel. I think if the country ever opens again, we will see people on the go once more.",s057
1.0,Eating flavonoids is good for your health.,s058
1.0,"With climate change currently happening and our country doing nothing to curb it and living in an earthquake state, people I know should read this article to keep themselves and their assets safe. Knowing the risk of not being insured and what the costs can be may help people make decisions that may better keep them safe and secure.",s062
0.0,"Apparently it's possible for vegan diets to be bad for you, which is something I didn't know in this particular way before.",s063
0.0,Florida's wildlife is being killed by algal blooms,s064
1.0,This article matters to people I know because they're concerned about the effects of climate change.,s065
1.0,This is why we should not have a lot of sweets in our diet.,s066
1.0,"Skin infections decrease among people who are taking ""statins"" (whatever those are).",s067
1.0,Things you can do to lower arterial plaque.,s068
1.0,I want to help decrease climate change and air pollution in easy ways.,s069
1.0,This seems like it would be an article and photos for the history books.,s070
0.0,"Low-IQ Americans are still building homes in flood zones, completely ignoring the data showing their home will just be destroyed again",s072
1.0,This article is about how to weight train in a quick way.,s073
1.0,Critically endangered Vaquita Porpoises and the effort to save them,s074
0.0,four continents affected by havoc.,s075
0.0,Its about a wildfire in california,s076
